"showId","text"
20,"Hong Kong Toys & Games Fair 2012(HKTGF) http://hktoyfair.com"
20,"Hong Kong Toys & Games Fair (HKTGF) http://hktoyfair.com"
20,"Hong Kong Toys & Games Fair (HKTGF) http://www.hktdc.com/fair/hktoyfair-tc/"
20,"41st Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/HKTDC-Hong-Kong-Toys-and-Games-Fair.html"
20,"42rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/"
20,"43rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/"
21,"7th Vibrant Gujarat Summit(VG) http://vibrantgujarat.com/vg-2015.htm"
21,"Vibrant Gujarat Global Trade Show 2017(VGGTS-2017) http://vibrantgujarat.com/"
22,"HKTDC Hong Kong Baby Products Fair 2012 http://www.hktdc.com/fair/hkbabyfair-en/"
22,"Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/"
22,"6th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/HKTDC-Hong-Kong-Baby-Products-Fair.html"
22,"7th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/HKTDC-Hong-Kong-Baby-Products-Fair.html"
22,"8th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/"
23,"NAHB INTERNATIONAL BUILDER'S SHOW 2012(NAHB) http://www.buildersshow.com/Home/"
23,"NAHB INTERNATIONAL BUILDER'S SHOW 2013(NAHB) http://www.buildersshow.com/Home/"
23,"The International Builders' Show(IBS 2014) http://www.buildersshow.com/Home/"
23,"NAHB International Builders' Show (IBS) http://www.buildersshow.com/Home/"
23,"NAHB International Builders' Show(IBS 2016) http://www.buildersshow.com/Home/"
23,"NAHB INTERNATIONAL BUILDER'S SHOW 2017(IBS) http://www.buildersshow.com/Home/"
24,"Heimtextil 2013 - International trade fair for home and contract textiles (Heimtextil ) http://www.heimtextil.de"
24,"International trade fair for home and contract textiles(Heimtextil) http://www.heimtextil.de/"
24,"Heimtextil http://heimtextil.messefrankfurt.com/frankfurt/en/besucher/willkommen.html"
24,"Heimtextil - International Trade Fair for Home and Contract Textiles(Heimtextil) http://heimtextil.messefrankfurt.com/frankfurt/en/besucher/willkommen.html"
24,"Heimtextil http://heimtextil.messefrankfurt.com/"
25,"80th Pitti Immagine Uomo (Pitti Immagine Uomo) http://www.pittimmagine.com"
25,"Pitti Uomo 83(Pitti Uomo ) http://www.pittimmagine.com/corporate/fairs/uomo.html"
25,"Pitti Uomo 85 http://www.pittimmagine.com/corporate/fairs/uomo.html"
25,"Pitti Uomo 87 http://www.pittimmagine.com/corporate/fairs/uomo.html"
25,"Pitti Uomo 89 http://www.pittimmagine.com/"
25,"Pitti Immagine Uomo 91 http://www.pittimmagine.com/corporate.html"
26,"Kitchen & Bath Industry Show(KBIS 2012) http://www.kbis.com"
26,"Kitchen & Bath Industry Show (KBIS)(KBIS 2013) http://www.kbis.com"
26,"Kitchen & Bath Industry Show (KBIS 2014)(KBIS 2014) http://www.kbis.com"
26,"Kitchen & Bath Industry Show (KBIS 2015) http://www.kbis.com"
26,"Kitchen & Bath Industry Show(KBIS 2016) http://www.kbis.com"
26,"Kitchen & Bath Industry Show(KBIS 2017) http://www.kbis.com"
27,"The PPAI Expo - Promotional Products Association International(The PPAI Expo) http://expo.ppai.org/"
27,"The PPAI Expo http://expo.ppai.org/"
27,"The PPAI Expo http://expo.ppai.org/"
28,"The International Network of The Promotional Product Industry(PSI) http://www.psi-network.de/50th_psi_trade_show_2012_in_duesseldorf_1091.html"
28,"51st PSI Trade Show 2013 in Duesseldorf - Leading International Trade Show of the Promotional Product Industry(PSI) http://www.psi-messe.com/"
28,"52nd PSI Trade Show 2014 - The leading international trade show of the promotional product industry(PSI) http://www.psi-messe.com/"
28,"PSI 2015 http://www.psi-messe.com/"
28,"Leading European Trade Show of the Promotional Products Industry(PSI 2016) http://www.psi-messe.com/"
28,"PSI 2017 - Leading European Trade Show of the Promotional Products Industry http://www.psi-messe.com/"
29,"ISMOB- Istanbul Furniture Fair http://www.ismob.com.tr"
29,"ISMOB- Istanbul Furniture Fair 2015(ISMOB) http://www.ismob.com.tr"
29,"Istanbul Furniture Fair 2016(ISMOB) http://www.ismob.com.tr"
29,"Istanbul Furniture Fair 2017(ISMOB) http://www.ismob.com.tr"
30,"ATA  Trade Show(ATA Show) http://www.archerytrade.org"
30,"2013 ATA Trade Show( ATA Trade Show ) http://www.archerytrade.org"
30,"2014 ATA Trade Show http://www.archerytrade.org/trade-show"
30,"2015 ATA Trade Show http://www.archerytrade.org/trade-show"
30,"2016 ATA Trade Show http://www.archerytrade.org/trade-show"
30,"2017 ATA Trade Show http://www.archerytrade.org/trade-show"
31,"LA Art Show 2016 http://www.laartshow.com/"
31,"LA Art Show 2017 http://www.laartshow.com/"
32,"Vakantiebeurs 2015 http://www.vakantiebeurs.nl"
32,"Vakantiebeurs 2016 http://www.vakantiebeurs.nl"
32,"Vakantiebeurs 2017 http://www.vakantiebeurs.nl"
33,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com"
33,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com"
33,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com"
34,"Istanbul International Children Baby Maternity Industry Expo(CBME Turkey) http://www.cbmeturkey.com/?lng=en"
34,"30th Istanbul International Children Baby Maternity Industry Expo (CBME Turkey) http://www.cbmeturkey.com"
34,"International Istanbul Children Baby Maternity Industry Expo (CBME Turkey) http://istanbulkidsfashion.com/"
35,"International building and interiors exhibition Week of Building & Architecture(SibBuild) http://sibbuild.com/en-GB/home/SibBuild.aspx"
35,"2nd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2016) http://cafe-malaysia.com"
35,"3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com"
36,"The Fair for Holidays, Travel & Leisure(Ferien-Messe Wien) http://www.ferien-messe.at"
36,"Ferien-Messe Wien 2013 - International fair for holidays, travel and leisure http://www.ferien-messe.at"
36,"Ferien-Messe Wien 2014 - International fair for holidays, travel and leisure http://www.ferien-messe.at"
36,"Ferien-Messe Wien 2015 - International fair for holidays, travel and leisure http://www.ferien-messe.at"
36,"International fair for holidays, travel and leisure (Ferien-Messe Wien 2016) http://www.ferien-messe.at"
36,"Ferien-Messe Wien 2017 http://www.ferien-messe.at"
37,"Vienna Auto Show http://www.viennaautoshow.at/"
37,"Vienna Auto Show 2013, 7th http://www.viennaautoshow.at/"
37,"Vienna Auto Show 2014 http://www.viennaautoshow.at/"
37,"Vienna Auto Show 2015 http://www.viennaautoshow.at/"
37,"Vienna Auto Show 2016 http://www.viennaautoshow.at/"
37,"Vienna Auto Show 2017 http://www.viennaautoshow.at/"
38,"InterClassics - TopMobiel 2015 http://www.ic-tm.nl/"
38,"InterClasssics Maastricht 2016 http://www.ic-tm.nl/"
38,"InterClasssics Maastricht 2017 http://www.ic-tm.nl/"
39,"TAIWAN NEW YEAR MARKET FAIR http://www.twtcshopfair.com.tw/"
39,"TAIWAN NEW YEAR MARKET FAIR http://www.twtcshopfair.com.tw/"
39,"2017 Taiwan New Year Market Fair http://www.twtcshopfair.com.tw/"
40,"Atlanta Boat Show http://www.atlantaboatshow.com"
40,"Atlanta Boat Show http://www.atlantaboatshow.com"
40,"Atlanta Boat Show 2017 http://www.atlantaboatshow.com"
41,"EXPOZOO 2015 http://www.expozoo.com"
41,"EXPOZOO 2017 http://www.expozoo.com"
42,"TOKYO AUTO SALON 2012 with NAPAC http://www.tokyoautosalon.jp/"
