group,string,score,dataId,idG
group59,International Water Summit 2018(IWS 2018) http://iwsabudhabi.com/,0.9163519656,3313,1
group60,EcoWASTE 2017 http://ecowaste.ae/Default.aspx,1,61,0
group60,EcoWASTE 2018 http://ecowaste.ae/Default.aspx,0.9874788047,3308,1
group61,Souvenir Show 2017 Spring(Souvenir Show ) http://kankoubussan.jimdo.com/,1,62,0
group61,Souvenir Show 2018 Spring http://kankoubussan.jimdo.com/,0.9267060595,3351,1
group62,EAG International(EAG 2017) http://www.eagexpo.com,1,63,0
group62,EAG International & VAE 2018 http://www.eagexpo.com,0.7551520443,3317,1
group63,NATPE Market & Conference (NATPE 2017) http://www.natpe.org,1,64,0
group63,NATPE 17 - NATPE Budapest Global TV Market & Conference http://www.natpe.org,0.8688737939,1628,0
group63,NATPE Miami 2018 http://www.natpe.org,0.8543285818,3314,1
group64,Florida RV SuperShow http://events.frvta.org/florida-rv-supershow/,1,65,0
group65,World of Concrete 2017(WOC 2017) http://www.WorldofConcrete.com,1,66,0
group66,Premiere Vision New York(PV New York) http://www.premierevision-newyork.com/,1,67,0
group66,Premiere Vision Paris http://premierevision.com,0.5016768501,250,0
group66,International Beauty Show New York(IBS New York 2017) http://www.ibsnewyork.com/,0.5419414938,655,0
group66,International Vision Expo & Conference NEW YORK(Vision Expo ) http://www.visionexpoeast.com/,0.5140217732,877,0
group66,PV New York - Premiere Vision New York http://www.premierevision-newyork.com/,1,1821,0
group66,Premiere Vision Paris http://premierevision.com,0.5016768501,3561,1
group66,IBS New York 2018 - International Beauty Show New York http://www.ibsnewyork.com/,0.540135723,3761,1
group66,International Vision Expo & Conference NEW YORK(Vision Expo ) http://www.visionexpoeast.com/,0.5140217732,3925,1
group67,"Shooting, Hunting, and Outdoor Trade Show(2017 SHOT Show) http://www.shotshow.com/",1,68,0
group67,2018 SHOT Show http://www.shotshow.com/,0.6612634028,3377,1
group68,Private Label Conference and Exhibition(Marca 2017) http://www.marca.bolognafiere.it/,1,69,0
group68,Marca 2018 - Private Label Conference and Exhibition http://www.marca.bolognafiere.it/,0.9899155736,3319,1
group69,Promotion Trade Exhibition(pte) http://www.promotiontradeexhibition.it/it/,1,70,0
group69,pte - Promotion Trade Exhibition http://www.promotiontradeexhibition.it/it/,1,3394,1
group70,AutoZum Salzburg 2017 http://www.autozum.at/,1,71,0
group71,"Educational Technology, Environment & Contents Korea (EDUTEC KOREA 2017) http://www.educationkorea.kr",1,72,0
group72,FORMEX http://www.formex.se/,1,73,0
group72,FORMEX http://www.formex.se/,1,1993,0
group72,FORMEX http://www.formex.se/,1,3336,1
group73,28th International Exhibition of Hospitality Industry Equipments(Anfas Hotel Equipment) http://www.anfashotelequipment.com,1,74,0
group73,Anfas Hotel Equipment - 29th International Exhibition of Hospitality Industry Equipments http://www.anfashotelequipment.com,0.8831734514,3326,1
group74,58th India International Garment Fair (IIGF) http://indiaapparelfair.com/,1,75,0
group74,IIGF - 59th India International Garment Fair http://indiaapparelfair.com/,0.7883031225,1741,0
group75,Japan Grand Shoes Collection Summer 2017 (156th) http://www.csia.or.jp/tenjikai/,1,76,0
group75,Japan Grand Shoes Collection Autumn and Winter 2017 (157th) http://www.csia.or.jp/tenjikai/,0.7069531614,1424,0
group75,Japan Grand Shoes Collection Spring 2018 (158th) http://www.csia.or.jp/tenjikai/,0.7453071744,2749,0
group75,Japan Grand Shoes Collection Summer 2018 (159th) http://www.csia.or.jp/tenjikai/,0.8145570534,3423,1
group76,46th NEPCON JAPAN 2017 http://www.nepconjapan.jp/,1,77,0
group76,46th INTERNEPCON JAPAN http://www.nepcon.jp/,0.6653123615,78,0
